Date,Score
9/2/2025,7
9/3/2025,6
9/4/2025,6
9/5/2025,6
9/6/2025,5
9/7/2025,5
9/8/2025,5
9/9/2025,6
9/10/2025,7
9/11/2025,5
9/12/2025,6
9/13/2025,6
9/14/2025,6
9/15/2025,5
9/16/2025,5
9/17/2025,5
9/18/2025,4
9/19/2025,7.5
9/20/2025,6
9/21/2025,7
9/22/2025,6
9/23/2025,7
9/24/2025,7
9/25/2025,4
9/26/2025,4
9/27/2025,5
9/28/2025,5
9/29/2025,5
9/30/2025,4
10/1/2025,4
10/2/2025,5
10/3/2025,5
10/4/2025,3
10/5/2025,5
10/6/2025,3
10/7/2025,5
10/8/2025,4
10/9/2025,6
10/10/2025,5
10/11/2025,5
10/12/2025,4
10/13/2025,4
10/14/2025,4
10/15/2025,3
10/16/2025,4
10/17/2025,5
10/18/2025,4
10/19/2025,6
